"","Satisf_Disponibilidad_Libros","Satisf_Silencio","Satisf_Limpieza","Satisf_Orden","Satisf_Calidad_Atencion","Satisf_General_Biblioteca"
"1",10,10,10,10,10,10
"2",9,9,9,9,9,9
"3",8,7,7,9,5,5
"4",9,1,1,6,8,5
"5",10,10,9,10,10,9
"6",4,5,2,4,3,4
"7",1,8,6,7,10,9
"8",9,9,8,8,3,8
"9",10,10,10,10,10,10
"10",10,10,9,9,9,9
"11",6,10,6,6,7,6
"12",10,10,10,10,10,10
"13",9,10,9,9,9,9
"14",1,10,10,10,10,10
"15",10,9,10,10,10,9
"16",10,10,10,10,10,10
"17",2,2,2,2,2,2
"18",8,10,10,10,10,10
"19",8,8,10,8,10,8
"20",10,10,10,10,10,10
"21",9,9,9,8,7,8
"22",10,10,10,10,10,10
"23",5,7,5,4,2,4
"24",10,10,10,10,10,10
"25",9,9,10,10,10,10
"26",5,4,3,7,4,3
"27",10,10,10,10,10,10
"28",10,6,10,10,7,10
"29",10,10,10,10,10,10
"30",10,10,10,9,10,10
"31",10,10,10,10,10,10
"32",7,10,10,7,9,9
"33",10,10,10,10,10,10
"34",10,10,10,10,10,10
"35",5,5,4,5,6,5
"36",10,10,10,10,10,10
"37",9,8,8,8,9,8
"38",7,7,8,8,8,8
"39",9,8,10,9,8,9
"40",10,10,10,10,10,10
"41",8,9,9,8,9,8
"42",10,10,10,10,10,10
"43",9,10,9,9,9,9
"44",9,8,9,7,5,5
"45",8,8,9,9,6,7
"46",9,10,9,9,9,10
"47",10,5,8,1,1,3
"48",1,1,9,8,10,1
"49",10,10,10,10,9,10
"50",10,10,10,10,10,10
"51",8,9,9,9,9,8
"52",10,10,10,10,10,10
"53",2,10,5,2,10,5
"54",9,10,10,9,10,9
"55",8,8,8,8,8,8
"56",10,10,10,10,10,10
"57",10,10,10,9,8,4
"58",3,4,3,3,4,3
"59",10,10,10,10,10,10
"60",10,10,10,10,10,10
"61",10,10,10,10,10,10
"62",10,10,10,10,10,10
"63",9,10,10,8,10,10
"64",9,10,9,8,8,9
"65",8,5,7,7,7,7
"66",8,8,8,6,6,8
"67",5,6,6,7,7,6
"68",10,10,10,10,10,10
"69",4,3,3,3,2,2
"70",10,10,10,10,10,10
"71",6,10,7,7,7,7
"72",10,10,10,10,10,10
"73",8,10,9,9,6,9
"74",10,10,10,10,10,10
"75",10,6,6,6,6,6
"76",10,10,5,8,10,8
"77",10,10,10,10,10,10
"78",5,5,5,5,3,1
"79",5,4,4,3,8,5
"80",8,8,7,5,7,8
"81",10,10,10,10,10,10
"82",9,10,8,10,10,8
"83",10,10,10,10,10,10
"84",10,10,10,10,10,10
"85",10,10,10,10,9,9
"86",10,10,10,10,10,10
"87",2,4,4,2,2,4
"88",9,8,8,8,5,6
"89",9,9,9,9,9,9
"90",10,10,10,10,10,10
"91",1,1,1,1,1,1
"92",9,9,9,9,9,9
"93",9,10,9,10,9,10
"94",10,10,10,10,10,10
"95",10,10,8,10,10,10
"96",10,10,10,10,10,10
"97",8,10,10,10,10,10
"98",7,10,8,3,10,7
"99",5,5,5,1,1,2
"100",10,10,10,10,10,10
"101",1,1,4,3,1,1
"102",10,10,10,10,10,10
"103",9,9,9,9,10,9
"104",9,10,10,9,9,9
"105",5,4,5,4,3,4
"106",8,8,4,4,4,4
"107",4,4,5,3,4,3
"108",10,10,10,10,10,10
"109",9,9,7,7,8,8
"110",8,7,7,7,7,7
"111",10,10,9,8,10,10
"112",2,2,9,2,1,4
"113",9,9,9,10,10,10
"114",8,10,10,9,10,10
"115",10,10,10,10,10,10
"116",3,2,3,2,1,2
"117",3,2,5,2,3,3
"118",7,7,7,7,7,7
"119",10,9,9,10,10,10
"120",9,10,5,10,9,8
"121",10,10,10,10,10,10
"122",10,10,10,10,10,10
"123",10,10,9,9,10,10
"124",8,10,5,10,10,8
"125",10,10,10,7,7,10
"126",10,10,10,10,10,10
"127",9,10,10,7,9,7
"128",8,9,8,8,8,8
"129",10,10,9,9,9,9
"130",9,9,9,8,10,10
"131",8,9,1,8,1,1
"132",10,10,10,10,10,10
"133",8,5,7,2,7,8
"134",9,9,9,10,9,9
"135",1,1,1,1,1,1
"136",10,10,10,5,7,9
"137",5,6,6,5,7,6
"138",10,10,10,10,10,10
"139",10,10,10,10,10,10
"140",4,6,6,4,3,4
"141",10,10,10,8,10,10
"142",10,10,10,10,10,10
"143",1,1,1,10,10,10
"144",10,10,10,10,10,10
"145",8,9,9,7,9,9
"146",10,10,10,9,10,10
"147",9,10,10,10,10,10
"148",9,10,9,10,9,10
"149",9,8,9,8,8,9
"150",6,6,2,2,7,4
"151",10,10,9,10,10,10
"152",10,10,7,10,8,10
"153",5,9,5,5,7,5
"154",10,10,10,10,10,10
"155",10,7,9,9,6,7
"156",10,10,10,10,8,10
"157",9,10,9,1,10,8
"158",10,10,10,10,10,10
"159",7,7,6,6,5,5
"160",10,10,10,10,10,10
"161",9,10,10,10,10,10
"162",10,1,2,6,1,2
"163",10,10,10,10,10,10
"164",10,10,8,8,10,8
"165",9,10,10,9,9,9
"166",8,10,10,10,10,10
"167",10,10,8,8,9,8
"168",10,10,10,10,10,10
"169",10,10,8,10,10,10
"170",3,2,2,4,3,3
"171",5,1,1,1,5,2
"172",10,10,10,10,10,10
"173",10,10,10,10,10,10
"174",10,10,10,10,10,10
"175",8,8,5,10,8,8
"176",10,10,10,10,10,10
"177",10,10,10,10,10,10
"178",9,10,10,10,10,10
"179",9,9,10,9,9,9
"180",5,5,5,5,5,5
"181",10,10,10,10,10,10
"182",9,6,6,9,6,6
"183",1,5,2,4,5,2
"184",10,10,10,10,10,10
"185",9,10,9,10,9,10
"186",10,10,10,10,9,10
"187",8,9,6,6,6,6
"188",10,10,10,10,10,10
"189",9,9,10,9,10,10
"190",1,1,1,1,1,1
"191",10,10,10,5,10,10
"192",5,5,5,5,5,5
"193",8,8,6,7,6,6
"194",8,10,9,10,10,10
"195",7,7,7,8,7,7
"196",10,10,10,10,10,10
"197",10,10,10,10,10,10
"198",9,7,4,4,4,4
"199",10,10,10,10,10,10
"200",10,10,10,10,10,10
"201",9,10,10,10,10,10
"202",8,4,6,4,2,2
"203",10,10,10,10,10,10
"204",7,8,7,6,8,7
"205",9,9,9,7,9,8
"206",7,8,8,6,8,8
"207",10,10,10,10,10,10
"208",10,10,10,10,10,10
"209",10,10,10,10,10,10
"210",10,10,10,10,10,10
"211",9,9,9,9,9,9
"212",7,5,3,4,2,4
"213",10,10,10,10,10,10
"214",10,10,8,5,8,7
"215",10,10,10,10,10,10
"216",4,4,4,3,3,4
"217",10,10,10,10,10,10
"218",6,8,8,3,5,6
"219",10,10,10,10,10,10
"220",10,10,10,10,10,10
"221",10,10,10,10,10,10
"222",10,10,10,10,10,10
"223",10,10,10,10,10,10
"224",10,10,8,8,1,1
"225",10,10,10,10,10,10
"226",10,10,10,10,10,10
"227",10,10,10,10,10,10
"228",5,8,10,10,3,6
"229",10,10,10,10,10,10
"230",8,9,8,7,9,8
"231",5,5,5,5,5,5
"232",10,10,10,10,10,10
"233",10,10,7,8,10,9
"234",9,10,10,10,9,10
"235",10,8,8,8,10,9
"236",9,10,10,10,10,10
"237",10,10,10,10,10,10
"238",10,10,10,10,10,10
"239",1,1,1,1,1,1
"240",8,8,8,8,9,8
"241",10,10,8,9,10,9
"242",10,10,5,10,10,10
"243",10,10,10,10,10,10
"244",10,10,9,10,10,10
"245",9,9,9,10,10,9
"246",5,5,5,5,5,5
"247",10,10,10,10,10,10
"248",8,8,8,7,3,2
"249",10,10,10,10,10,10
"250",9,9,9,10,10,9
"251",6,7,7,7,6,6
