"","Satisf_Comida","Satisf_Calidad_Atencion","Satisf_Rapidez_Atencion","Satisf_General_Casino"
"1",10,10,9,10
"2",9,9,9,9
"3",8,4,9,8
"4",1,5,10,5
"5",10,10,10,10
"6",2,3,4,4
"7",8,8,8,8
"8",8,8,8,8
"9",10,10,10,10
"10",9,10,10,9
"11",6,7,1,5
"12",10,10,10,10
"13",9,10,9,9
"14",10,10,10,10
"15",10,10,5,10
"16",10,10,10,10
"17",2,2,2,2
"18",10,10,10,10
"19",10,10,8,8
"20",9,10,10,10
"21",10,9,10,9
"22",10,10,10,10
"23",4,7,7,5
"24",10,10,10,10
"25",10,10,10,10
"26",5,7,7,7
"27",10,10,10,10
"28",10,10,10,10
"29",10,10,10,10
"30",9,10,9,10
"31",10,10,10,10
"32",8,8,5,8
"33",10,10,10,10
"34",10,10,10,10
"35",5,6,1,5
"36",10,10,10,10
"37",8,8,8,8
"38",8,8,8,8
"39",8,10,3,6
"40",10,1,10,7
"41",9,9,2,9
"42",10,10,10,10
"43",9,9,8,9
"44",10,9,1,1
"45",8,4,10,7
"46",10,10,10,10
"47",5,5,5,5
"48",1,8,2,1
"49",9,10,9,10
"50",10,10,10,10
"51",9,9,9,9
"52",10,10,10,9
"53",2,10,3,5
"54",10,10,10,10
"55",10,10,8,9
"56",10,10,10,10
"57",3,9,8,4
"58",3,4,4,4
"59",10,10,10,10
"60",10,10,10,10
"61",9,10,10,10
"62",10,10,8,9
"63",8,8,6,8
"64",9,9,9,9
"65",7,1,1,5
"66",8,8,7,9
"67",6,6,7,5
"68",10,10,10,10
"69",2,4,1,2
"70",10,10,10,10
"71",9,4,3,6
"72",10,10,10,10
"73",10,10,10,10
"74",10,10,10,10
"75",10,10,10,10
"76",3,9,7,8
"77",10,10,10,10
"78",10,10,1,5
"79",3,7,10,3
"80",7,7,7,7
"81",10,3,10,10
"82",9,8,8,8
"83",10,10,10,10
"84",10,10,10,10
"85",4,8,3,4
"86",10,8,10,8
"87",4,7,7,5
"88",6,8,8,7
"89",9,9,3,9
"90",10,10,10,10
"91",1,1,1,1
"92",9,9,9,9
"93",10,10,9,9
"94",10,10,10,10
"95",10,10,5,10
"96",10,5,10,9
"97",10,10,10,10
"98",1,10,1,5
"99",5,1,5,2
"100",10,10,10,10
"101",4,9,10,5
"102",10,6,5,6
"103",9,10,10,9
"104",10,10,10,10
"105",5,2,2,3
"106",4,8,8,6
"107",4,2,5,3
"108",10,10,10,10
"109",8,7,1,8
"110",7,6,6,6
"111",9,10,10,10
"112",7,10,10,10
"113",10,10,10,10
"114",9,9,9,9
"115",10,10,10,10
"116",2,2,1,2
"117",4,4,3,4
"118",7,8,8,7
"119",9,10,6,8
"120",9,5,1,6
"121",10,10,10,10
"122",10,10,10,10
"123",10,10,10,10
"124",8,10,10,5
"125",10,5,10,10
"126",10,10,10,10
"127",9,8,8,9
"128",9,9,9,8
"129",9,10,10,10
"130",9,10,10,10
"131",10,9,9,1
"132",10,10,10,10
"133",1,6,8,6
"134",10,9,9,9
"135",1,1,1,1
"136",10,8,5,8
"137",8,9,8,8
"138",10,10,10,10
"139",10,10,10,10
"140",5,3,6,4
"141",9,10,10,10
"142",10,10,10,10
"143",10,10,10,10
"144",10,10,10,10
"145",9,10,1,1
"146",10,10,10,10
"147",10,10,10,10
"148",10,10,10,10
"149",9,9,9,9
"150",2,7,5,3
"151",10,10,10,10
"152",10,10,10,10
"153",7,2,2,4
"154",10,10,10,10
"155",8,6,1,7
"156",10,10,10,10
"157",8,10,10,8
"158",10,10,10,10
"159",4,4,4,4
"160",10,10,10,10
"161",10,10,1,10
"162",9,9,9,9
"163",10,9,10,10
"164",10,8,10,8
"165",9,10,9,9
"166",10,10,10,10
"167",10,10,10,10
"168",9,9,9,9
"169",10,10,10,10
"170",2,2,2,2
"171",2,2,2,2
"172",10,10,10,10
"173",10,10,10,10
"174",10,10,10,10
"175",8,6,1,10
"176",10,10,5,10
"177",10,10,10,10
"178",10,10,10,10
